ISO3,CountryName,nCells,Pop,MeanAnnual_recent,MeanOSDMA8_recent,SlopeAnnual_ppb_per_decade,SlopeOSDMA8_ppb_per_decade,FracCellsSignif
MNG,"Mongolia",187,3203572.07764837,38.6780460187513,46.2847361533987,4.29868483271048,5.11989492201051,1
CHN,"China",1000,1430306643.50536,43.6842590260454,54.090116355972,4.03585885762274,5.91090329443831,0.948
SDN,"Sudan",162,44279536.0434116,38.5915804644322,42.5031758411265,3.71880707982344,2.88044288570478,0.907407407407407
BDI,"Burundi",3,15283961.6579895,38.2569088111926,42.5908457063349,3.67715711632798,3.14627110913066,1
LBY,"Libya",159,6568919.56184547,42.274688737342,47.5961731135173,3.38498749025412,2.29323424972569,0.930817610062893
MWI,"Malawi",10,17115273.6969841,33.6295206218942,40.6131501596605,3.3698273885158,3.43583049927526,1
RWA,"Rwanda",2,11936257.6369324,38.205599635001,41.5283179494837,3.33982060932716,2.64259371648132,1
ZWE,"Zimbabwe",34,16511938.853875,36.3283588198591,42.9629899555676,3.25283238050135,3.282740636274,1
KOR,"Republic of Korea",23,51110976.9046369,43.529982588026,53.5788709966662,3.17296204585894,4.14441834339993,1
DJI,"Djibouti",3,433428.481121063,35.882476351309,38.8924123602083,3.08312005390978,1.83405878704939,1
SWZ,"Swaziland",1,900670.240234375,37.925090812873,40.7947396921714,3.06733101536694,1.84036540547104,1
KEN,"Kenya",50,51873819.9035801,33.2328477276723,36.164139482371,2.96800740075142,2.44665241928406,0.92
BTN,"Bhutan",4,4407790.0189209,40.3664995917884,47.8102501150365,2.87164514092196,3.89574718969679,1
LSO,"Lesotho",2,1262457.37030792,38.7422036780643,41.4162210519088,2.85919191375478,2.08010946319911,1
PRK,"Democratic People's Republic of Korea",16,22937769.864296,42.1598707820618,50.97689205292,2.81808116946736,3.64742577273461,1
THA,"Thailand",52,65967543.0251408,33.1493962845528,39.9149201814249,2.79066291725038,3.6345738431463,0.730769230769231
ZAF,"South Africa",130,57802107.5767995,37.4424576528382,40.5269410665527,2.75322516464775,1.79675335178244,0.876923076923077
ERI,"Eritrea",14,5441064.65183973,37.1746622450951,40.1974285387498,2.74314145956768,2.00256024938689,0.714285714285714
BGD,"Bangladesh",16,173254031.969687,40.4186378337903,47.6167085361095,2.67152305853261,3.13630484946254,0.75
IND,"India",319,1362022018.20396,41.9584043818904,49.3514474121039,2.65976577003561,3.42242782927902,0.824451410658307
NER,"Niger",101,24757911.5834098,37.466019088736,40.5182625566828,2.60800864675907,1.77087468806914,0.97029702970297
COG,"Congo",27,9382455.94656181,34.1142388167152,38.9300908652592,2.60387426493517,1.6401494155754,0.703703703703704
MOZ,"Mozambique",88,33594813.102168,32.1364043154177,38.232236954837,2.52734234176743,2.34815616633199,0.829545454545455
