Year,Threshold_ugm3,Threshold_ppb,PopAbove,PctPopAbove,PctAreaAbove
1990,60,30,7209747532.86596,94.0508194615306,80.5087361130757
1991,60,30,6797574915.97813,88.6740469461004,77.5234986166936
1992,60,30,6859596061.02798,89.4831098833656,80.1715631427283
1993,60,30,7327271135.06547,95.5839093571959,87.5342780083726
1994,60,30,6883634293.25965,89.7966874988769,82.4243339347698
1995,60,30,6853143239.67865,89.3989331305768,76.7836429819405
1996,60,30,7248072927.95879,94.5507724485437,85.4877696356342
1997,60,30,7311920333.78522,95.3836588722493,86.1482403475027
1998,60,30,6978070589.13008,91.028604562968,81.4464534507587
1999,60,30,6726671321.61658,87.749112872879,77.6690507649695
2000,60,30,6807388379.04898,88.8020631130136,77.7098848644844
2001,60,30,6860988981.78126,89.5012804694635,76.4392051264222
2002,60,30,7388087607.46313,96.3772573960399,82.52094647095
2003,60,30,7375223656.01995,96.2094477509408,82.7264715109955
2004,60,30,7061587306.73706,92.1180762391768,79.3494985456687
2005,60,30,7004563354.75746,91.3742014518603,83.1353133867001
2006,60,30,6862087540.41946,89.5156111155338,77.2810847420671
2007,60,30,6876849028.94871,89.708174043198,77.8767291383759
2008,60,30,6848587626.22155,89.3395053660348,77.3074157894056
2009,60,30,6859425079.9462,89.4808794431482,77.9518620256035
2010,60,30,6982647969.03237,91.0883162697697,79.5306824357968
2011,60,30,6938659236.7985,90.5144853145511,80.2400305531403
2012,60,30,7065586793.32042,92.1702493546535,81.5916791586152
2013,60,30,6857652946.15131,89.4577620406533,77.2284330923658
2014,60,30,7093650040.16964,92.536333097654,80.7145386479612
2015,60,30,7104609520.80193,92.679299010072,77.3756592176412
2016,60,30,6992652552.27142,91.2188255903408,77.4730164390071
2017,60,30,7079429997.70195,92.3508333085466,76.9118442991263
2018,60,30,7005733852.29332,91.3894705374868,76.8145154058484
2019,60,30,7267724820.65318,94.8071304698825,82.70091861129
2020,60,30,7110385137.83289,92.7546416641915,78.3689422700185
2021,60,30,7189444603.02411,93.7859686910435,82.2241478842348
2022,60,30,6940318244.79963,90.5361269963559,80.9718958432984
1990,70,35,6256593124.28164,81.6169647679958,59.7335418422466
1991,70,35,4811210805.25277,62.7620199977127,44.1454471996746
1992,70,35,4863648146.42888,63.4460626615529,46.4421075038664
1993,70,35,5042575317.48608,65.7801592419326,52.5745608577818
1994,70,35,5523124666.45698,72.0489030303093,54.2432381945215
1995,70,35,5611322143.78575,73.1994349982316,50.4056903522126
1996,70,35,5898617294.87109,76.9471868111386,59.1721480470018
1997,70,35,6293818002.22342,82.1025615602302,61.087139878168
1998,70,35,5881485056.00655,76.7236975561993,54.3876086810362
1999,70,35,5871056052.36715,76.58765169135,54.5105866783279
2000,70,35,5591369227.86271,72.93915014295,52.6018771740312
2001,70,35,5595243353.00433,72.9896879242806,52.9104452279415
2002,70,35,6015278420.27982,78.4690257373948,58.9953366442226
2003,70,35,6402836807.5929,83.5247067789049,64.9502537447081
2004,70,35,6085657187.60466,79.3871134664616,65.6354527506204
2005,70,35,5799263702.30761,75.6511238416037,62.0733664908166
2006,70,35,5839492708.54308,76.1759093469659,59.1432887890076
2007,70,35,6011462054.2267,78.4192414206729,56.4035533056385
2008,70,35,5993101756.28053,78.1797321924338,60.2949513342541
2009,70,35,6177229960.98846,80.5816760136037,60.2070464390132
2010,70,35,6170258762.18555,80.4907370511706,63.3548402750931
