RegionSet,Region,Metric,Weighting,Year,Value,Ncells
Global,"Global",AnnualMean,pop,1990,35.3819245766364,18173
Global,"Global",AnnualMean,pop,1991,32.9547237539183,18173
Global,"Global",AnnualMean,pop,1992,31.6586160418066,18173
Global,"Global",AnnualMean,pop,1993,32.9040498137348,18173
Global,"Global",AnnualMean,pop,1994,33.5025859212692,18173
Global,"Global",AnnualMean,pop,1995,34.2336165640116,18173
Global,"Global",AnnualMean,pop,1996,34.7158150733911,18173
Global,"Global",AnnualMean,pop,1997,36.0956152766954,18173
Global,"Global",AnnualMean,pop,1998,35.480080405563,18173
Global,"Global",AnnualMean,pop,1999,35.8766508254789,18173
Global,"Global",AnnualMean,pop,2000,33.7819977523638,18173
Global,"Global",AnnualMean,pop,2001,34.0490421350216,18173
Global,"Global",AnnualMean,pop,2002,36.0010063732842,18173
Global,"Global",AnnualMean,pop,2003,37.2801764191589,18173
Global,"Global",AnnualMean,pop,2004,35.9181823951731,18173
Global,"Global",AnnualMean,pop,2005,35.3364720717079,18173
Global,"Global",AnnualMean,pop,2006,35.9337573395306,18173
Global,"Global",AnnualMean,pop,2007,36.6858729093182,18173
Global,"Global",AnnualMean,pop,2008,37.6205218670223,18173
Global,"Global",AnnualMean,pop,2009,36.9653764283062,18173
Global,"Global",AnnualMean,pop,2010,36.1755363850289,18173
Global,"Global",AnnualMean,pop,2011,36.2300776084682,18173
Global,"Global",AnnualMean,pop,2012,37.492938401284,18173
Global,"Global",AnnualMean,pop,2013,33.9771077877058,18173
Global,"Global",AnnualMean,pop,2014,36.3129218352251,18173
Global,"Global",AnnualMean,pop,2015,36.29389618331,18173
Global,"Global",AnnualMean,pop,2016,35.0341462696295,18173
Global,"Global",AnnualMean,pop,2017,38.8802586628515,18173
Global,"Global",AnnualMean,pop,2018,39.3759477980653,18173
Global,"Global",AnnualMean,pop,2019,39.1813392690009,18173
Global,"Global",AnnualMean,pop,2020,38.0542015645849,18173
Global,"Global",AnnualMean,pop,2021,38.8648189237944,18173
Global,"Global",AnnualMean,pop,2022,41.1255859972753,18173
Global,"Global",OSDMA8,pop,1990,38.7444830181077,18173
Global,"Global",OSDMA8,pop,1991,38.7440010254927,18173
Global,"Global",OSDMA8,pop,1992,38.0628174096524,18173
Global,"Global",OSDMA8,pop,1993,39.2290427618932,18173
Global,"Global",OSDMA8,pop,1994,39.4825172753338,18173
Global,"Global",OSDMA8,pop,1995,40.091788251708,18173
Global,"Global",OSDMA8,pop,1996,41.1184053652427,18173
Global,"Global",OSDMA8,pop,1997,41.9149211001884,18173
Global,"Global",OSDMA8,pop,1998,41.7081231976209,18173
Global,"Global",OSDMA8,pop,1999,42.5865791475684,18173
Global,"Global",OSDMA8,pop,2000,40.2233133993092,18173
Global,"Global",OSDMA8,pop,2001,40.3577725858145,18173
Global,"Global",OSDMA8,pop,2002,41.5917420121825,18173
Global,"Global",OSDMA8,pop,2003,44.3889635692613,18173
Global,"Global",OSDMA8,pop,2004,41.6747511981485,18173
Global,"Global",OSDMA8,pop,2005,41.1390579482614,18173
Global,"Global",OSDMA8,pop,2006,42.0536698639187,18173
Global,"Global",OSDMA8,pop,2007,42.7299078623565,18173
Global,"Global",OSDMA8,pop,2008,43.776644104944,18173
Global,"Global",OSDMA8,pop,2009,43.3338375994545,18173
Global,"Global",OSDMA8,pop,2010,41.9366148241942,18173
Global,"Global",OSDMA8,pop,2011,42.6632490298641,18173
Global,"Global",OSDMA8,pop,2012,44.3326208399574,18173
Global,"Global",OSDMA8,pop,2013,40.3324399255427,18173
Global,"Global",OSDMA8,pop,2014,44.0364066609401,18173
Global,"Global",OSDMA8,pop,2015,43.3405999378358,18173
Global,"Global",OSDMA8,pop,2016,42.1097279831025,18173
Global,"Global",OSDMA8,pop,2017,46.1030719011513,18173
Global,"Global",OSDMA8,pop,2018,46.3781262275786,18173
Global,"Global",OSDMA8,pop,2019,46.7051426252226,18173
Global,"Global",OSDMA8,pop,2020,44.3451617242243,18173
Global,"Global",OSDMA8,pop,2021,45.0574208019825,18173
Global,"Global",OSDMA8,pop,2022,46.5118188802155,18173
world,"Africa",AnnualMean,pop,1990,39.0221632367367,2888
world,"Africa",AnnualMean,pop,1991,31.5419137823988,2888
world,"Africa",AnnualMean,pop,1992,30.4481087753517,2888
world,"Africa",AnnualMean,pop,1993,30.6778751907941,2888
world,"Africa",AnnualMean,pop,1994,29.3865312005585,2888
world,"Africa",AnnualMean,pop,1995,31.7383233819295,2888
world,"Africa",AnnualMean,pop,1996,32.0861607453773,2888
world,"Africa",AnnualMean,pop,1997,34.2586138998289,2888
world,"Africa",AnnualMean,pop,1998,33.744579334962,2888
world,"Africa",AnnualMean,pop,1999,32.8320517015895,2888
world,"Africa",AnnualMean,pop,2000,33.5590681701776,2888
world,"Africa",AnnualMean,pop,2001,32.5328070972567,2888
world,"Africa",AnnualMean,pop,2002,33.3712220443187,2888
world,"Africa",AnnualMean,pop,2003,36.1309916753991,2888
world,"Africa",AnnualMean,pop,2004,31.9103629969657,2888
world,"Africa",AnnualMean,pop,2005,34.1814699618507,2888
world,"Africa",AnnualMean,pop,2006,32.1598624297334,2888
world,"Africa",AnnualMean,pop,2007,33.795557799279,2888
world,"Africa",AnnualMean,pop,2008,34.0075628916524,2888
world,"Africa",AnnualMean,pop,2009,34.056091164583,2888
world,"Africa",AnnualMean,pop,2010,34.686053087709,2888
world,"Africa",AnnualMean,pop,2011,36.9315053391971,2888
world,"Africa",AnnualMean,pop,2012,35.7964323774469,2888
world,"Africa",AnnualMean,pop,2013,33.1092763206047,2888
world,"Africa",AnnualMean,pop,2014,35.3504272112066,2888
world,"Africa",AnnualMean,pop,2015,37.7694221620357,2888
world,"Africa",AnnualMean,pop,2016,36.8087938806171,2888
world,"Africa",AnnualMean,pop,2017,36.59965932109,2888
world,"Africa",AnnualMean,pop,2018,35.7613178205257,2888
world,"Africa",AnnualMean,pop,2019,36.0939381149647,2888
world,"Africa",AnnualMean,pop,2020,34.7021453159544,2888
world,"Africa",AnnualMean,pop,2021,36.2563854039903,2888
world,"Africa",AnnualMean,pop,2022,37.1294957569228,2888
world,"Africa",OSDMA8,pop,1990,40.4331096884163,2888
world,"Africa",OSDMA8,pop,1991,37.2023928958626,2888
world,"Africa",OSDMA8,pop,1992,36.9501658727449,2888
world,"Africa",OSDMA8,pop,1993,38.080765540834,2888
world,"Africa",OSDMA8,pop,1994,35.1098177262437,2888
world,"Africa",OSDMA8,pop,1995,36.7545915521646,2888
world,"Africa",OSDMA8,pop,1996,38.8982228828506,2888
world,"Africa",OSDMA8,pop,1997,39.0392998291651,2888
world,"Africa",OSDMA8,pop,1998,38.9228533587256,2888
world,"Africa",OSDMA8,pop,1999,38.8569558740022,2888
world,"Africa",OSDMA8,pop,2000,39.3162285197503,2888
world,"Africa",OSDMA8,pop,2001,37.2023186826415,2888
world,"Africa",OSDMA8,pop,2002,38.9106535932532,2888
world,"Africa",OSDMA8,pop,2003,42.5170837075468,2888
world,"Africa",OSDMA8,pop,2004,36.2916024660403,2888
world,"Africa",OSDMA8,pop,2005,38.8451738292407,2888
world,"Africa",OSDMA8,pop,2006,36.8241539152419,2888
world,"Africa",OSDMA8,pop,2007,38.4440006057448,2888
world,"Africa",OSDMA8,pop,2008,38.1025230629978,2888
world,"Africa",OSDMA8,pop,2009,38.8952062643203,2888
world,"Africa",OSDMA8,pop,2010,39.3993133571661,2888
world,"Africa",OSDMA8,pop,2011,42.1607037906451,2888
world,"Africa",OSDMA8,pop,2012,40.7391626726052,2888
world,"Africa",OSDMA8,pop,2013,38.6827353539017,2888
world,"Africa",OSDMA8,pop,2014,40.542093124345,2888
world,"Africa",OSDMA8,pop,2015,42.8329592529168,2888
world,"Africa",OSDMA8,pop,2016,41.7647805842391,2888
world,"Africa",OSDMA8,pop,2017,41.2288150068314,2888
world,"Africa",OSDMA8,pop,2018,40.4716370647459,2888
world,"Africa",OSDMA8,pop,2019,41.369382449649,2888
world,"Africa",OSDMA8,pop,2020,39.093780139176,2888
world,"Africa",OSDMA8,pop,2021,41.0583495769454,2888
world,"Africa",OSDMA8,pop,2022,38.69545537788,2888
world,"EastAsia",AnnualMean,pop,1990,34.3956460055001,1265
world,"EastAsia",AnnualMean,pop,1991,32.4978351588146,1265
world,"EastAsia",AnnualMean,pop,1992,31.925067732504,1265
world,"EastAsia",AnnualMean,pop,1993,33.4491150252126,1265
world,"EastAsia",AnnualMean,pop,1994,34.8153879069116,1265
world,"EastAsia",AnnualMean,pop,1995,35.3463552213741,1265
world,"EastAsia",AnnualMean,pop,1996,35.7601859249763,1265
world,"EastAsia",AnnualMean,pop,1997,36.8598294262077,1265
world,"EastAsia",AnnualMean,pop,1998,36.9587218253032,1265
world,"EastAsia",AnnualMean,pop,1999,37.2684349450325,1265
world,"EastAsia",AnnualMean,pop,2000,37.9180476870406,1265
world,"EastAsia",AnnualMean,pop,2001,37.661968727181,1265
world,"EastAsia",AnnualMean,pop,2002,37.993662736334,1265
world,"EastAsia",AnnualMean,pop,2003,38.2164824589293,1265
world,"EastAsia",AnnualMean,pop,2004,39.6450547021639,1265
world,"EastAsia",AnnualMean,pop,2005,38.1240189628939,1265
world,"EastAsia",AnnualMean,pop,2006,38.8190660202091,1265
world,"EastAsia",AnnualMean,pop,2007,39.0972757224332,1265
world,"EastAsia",AnnualMean,pop,2008,40.6078819910074,1265
world,"EastAsia",AnnualMean,pop,2009,41.0964242932461,1265
world,"EastAsia",AnnualMean,pop,2010,38.7254868960168,1265
world,"EastAsia",AnnualMean,pop,2011,39.6132083539722,1265
world,"EastAsia",AnnualMean,pop,2012,38.450228754931,1265
world,"EastAsia",AnnualMean,pop,2013,37.8755171593324,1265
world,"EastAsia",AnnualMean,pop,2014,39.229292322726,1265
world,"EastAsia",AnnualMean,pop,2015,39.8030350979876,1265
world,"EastAsia",AnnualMean,pop,2016,41.3968328699267,1265
world,"EastAsia",AnnualMean,pop,2017,45.4842935847312,1265
world,"EastAsia",AnnualMean,pop,2018,45.6532055824274,1265
world,"EastAsia",AnnualMean,pop,2019,45.4140161072416,1265
world,"EastAsia",AnnualMean,pop,2020,43.949291736384,1265
world,"EastAsia",AnnualMean,pop,2021,44.5885285881279,1265
world,"EastAsia",AnnualMean,pop,2022,47.1941441852294,1265
world,"EastAsia",OSDMA8,pop,1990,37.3315128564628,1265
world,"EastAsia",OSDMA8,pop,1991,37.4483972366291,1265
world,"EastAsia",OSDMA8,pop,1992,38.0472381161219,1265
world,"EastAsia",OSDMA8,pop,1993,38.9966943842143,1265
world,"EastAsia",OSDMA8,pop,1994,41.2393542882833,1265
world,"EastAsia",OSDMA8,pop,1995,41.3158838868331,1265
world,"EastAsia",OSDMA8,pop,1996,42.0578945481615,1265
world,"EastAsia",OSDMA8,pop,1997,43.4258886931392,1265
world,"EastAsia",OSDMA8,pop,1998,43.3127723211783,1265
world,"EastAsia",OSDMA8,pop,1999,44.3721977627217,1265
world,"EastAsia",OSDMA8,pop,2000,44.9063638585135,1265
world,"EastAsia",OSDMA8,pop,2001,44.4664218453354,1265
world,"EastAsia",OSDMA8,pop,2002,43.7165963899586,1265
world,"EastAsia",OSDMA8,pop,2003,44.5131896274858,1265
world,"EastAsia",OSDMA8,pop,2004,46.0769738269762,1265
world,"EastAsia",OSDMA8,pop,2005,45.1041374299475,1265
world,"EastAsia",OSDMA8,pop,2006,46.6150831333912,1265
world,"EastAsia",OSDMA8,pop,2007,46.6139322764343,1265
world,"EastAsia",OSDMA8,pop,2008,48.4916918838788,1265
world,"EastAsia",OSDMA8,pop,2009,48.6806177272472,1265
world,"EastAsia",OSDMA8,pop,2010,45.4028303377881,1265
world,"EastAsia",OSDMA8,pop,2011,47.6626201837603,1265
world,"EastAsia",OSDMA8,pop,2012,47.24676309716,1265
world,"EastAsia",OSDMA8,pop,2013,44.7582071693181,1265
world,"EastAsia",OSDMA8,pop,2014,49.500271474292,1265
world,"EastAsia",OSDMA8,pop,2015,49.988437668095,1265
world,"EastAsia",OSDMA8,pop,2016,51.7795847991976,1265
world,"EastAsia",OSDMA8,pop,2017,56.2487358963782,1265
world,"EastAsia",OSDMA8,pop,2018,56.1982796436075,1265
world,"EastAsia",OSDMA8,pop,2019,56.7034138306408,1265
world,"EastAsia",OSDMA8,pop,2020,53.7845789266223,1265
world,"EastAsia",OSDMA8,pop,2021,53.132251361762,1265
world,"EastAsia",OSDMA8,pop,2022,57.1483996944943,1265
world,"Europe",AnnualMean,pop,1990,35.5856545737761,1537
world,"Europe",AnnualMean,pop,1991,33.240571538171,1537
world,"Europe",AnnualMean,pop,1992,32.5866297116628,1537
world,"Europe",AnnualMean,pop,1993,32.2228530632056,1537
world,"Europe",AnnualMean,pop,1994,34.5896669288348,1537
world,"Europe",AnnualMean,pop,1995,35.4390248647533,1537
world,"Europe",AnnualMean,pop,1996,35.7585209831415,1537
world,"Europe",AnnualMean,pop,1997,33.8504177010619,1537
world,"Europe",AnnualMean,pop,1998,33.5042009379249,1537
world,"Europe",AnnualMean,pop,1999,33.4092567957335,1537
world,"Europe",AnnualMean,pop,2000,31.6828461757734,1537
world,"Europe",AnnualMean,pop,2001,33.0979639811849,1537
world,"Europe",AnnualMean,pop,2002,36.1471610552033,1537
world,"Europe",AnnualMean,pop,2003,37.1239429940767,1537
world,"Europe",AnnualMean,pop,2004,34.7006690550624,1537
world,"Europe",AnnualMean,pop,2005,34.4841801184932,1537
world,"Europe",AnnualMean,pop,2006,35.3987363352512,1537
world,"Europe",AnnualMean,pop,2007,34.8935628065491,1537
world,"Europe",AnnualMean,pop,2008,35.3811111661228,1537
world,"Europe",AnnualMean,pop,2009,34.5736713627867,1537
world,"Europe",AnnualMean,pop,2010,33.6846560618803,1537
world,"Europe",AnnualMean,pop,2011,33.6959555678238,1537
world,"Europe",AnnualMean,pop,2012,34.4649503136825,1537
world,"Europe",AnnualMean,pop,2013,33.0337324186376,1537
world,"Europe",AnnualMean,pop,2014,34.4216487691711,1537
world,"Europe",AnnualMean,pop,2015,34.0351102750322,1537
world,"Europe",AnnualMean,pop,2016,32.8243175224109,1537
world,"Europe",AnnualMean,pop,2017,33.87206609059,1537
world,"Europe",AnnualMean,pop,2018,34.8058902598579,1537
world,"Europe",AnnualMean,pop,2019,34.3074215353973,1537
world,"Europe",AnnualMean,pop,2020,33.4051790863364,1537
world,"Europe",AnnualMean,pop,2021,33.5959295537531,1537
world,"Europe",AnnualMean,pop,2022,35.3029384039097,1537
world,"Europe",OSDMA8,pop,1990,45.3077288054842,1537
world,"Europe",OSDMA8,pop,1991,43.2076206732529,1537
world,"Europe",OSDMA8,pop,1992,42.9585966241031,1537
world,"Europe",OSDMA8,pop,1993,41.7936697393241,1537
world,"Europe",OSDMA8,pop,1994,44.3607688052281,1537
world,"Europe",OSDMA8,pop,1995,44.75765873913,1537
world,"Europe",OSDMA8,pop,1996,45.6774764636486,1537
world,"Europe",OSDMA8,pop,1997,43.2426706366647,1537
world,"Europe",OSDMA8,pop,1998,41.9808786175203,1537
world,"Europe",OSDMA8,pop,1999,42.6457387815237,1537
world,"Europe",OSDMA8,pop,2000,39.7865621747048,1537
world,"Europe",OSDMA8,pop,2001,41.8479166443689,1537
world,"Europe",OSDMA8,pop,2002,45.2364817137495,1537
world,"Europe",OSDMA8,pop,2003,47.8428495567452,1537
world,"Europe",OSDMA8,pop,2004,43.4633659334288,1537
world,"Europe",OSDMA8,pop,2005,43.2159951104672,1537
world,"Europe",OSDMA8,pop,2006,44.9465565328939,1537
world,"Europe",OSDMA8,pop,2007,43.5217415200322,1537
world,"Europe",OSDMA8,pop,2008,44.1220353376728,1537
world,"Europe",OSDMA8,pop,2009,43.223016997942,1537
world,"Europe",OSDMA8,pop,2010,41.9545262436101,1537
world,"Europe",OSDMA8,pop,2011,41.5133328324403,1537
world,"Europe",OSDMA8,pop,2012,42.4662764020646,1537
world,"Europe",OSDMA8,pop,2013,41.0026035621546,1537
world,"Europe",OSDMA8,pop,2014,42.5809830107265,1537
world,"Europe",OSDMA8,pop,2015,42.1761196814185,1537
world,"Europe",OSDMA8,pop,2016,40.6166903539766,1537
world,"Europe",OSDMA8,pop,2017,41.0695179214652,1537
world,"Europe",OSDMA8,pop,2018,43.1779257321638,1537
world,"Europe",OSDMA8,pop,2019,42.0899653426269,1537
world,"Europe",OSDMA8,pop,2020,40.6232379879776,1537
world,"Europe",OSDMA8,pop,2021,40.3286670650484,1537
world,"Europe",OSDMA8,pop,2022,42.7432450624275,1537
world,"NorthAmerica",AnnualMean,pop,1990,40.0300757350111,3757
world,"NorthAmerica",AnnualMean,pop,1991,37.3291280898053,3757
world,"NorthAmerica",AnnualMean,pop,1992,35.1356173200782,3757
world,"NorthAmerica",AnnualMean,pop,1993,36.5757668881325,3757
world,"NorthAmerica",AnnualMean,pop,1994,37.880918210156,3757
world,"NorthAmerica",AnnualMean,pop,1995,37.7546594101224,3757
world,"NorthAmerica",AnnualMean,pop,1996,37.2167988588609,3757
world,"NorthAmerica",AnnualMean,pop,1997,36.9487284446489,3757
world,"NorthAmerica",AnnualMean,pop,1998,39.1565471899855,3757
world,"NorthAmerica",AnnualMean,pop,1999,39.3172248228128,3757
world,"NorthAmerica",AnnualMean,pop,2000,37.6522598370605,3757
world,"NorthAmerica",AnnualMean,pop,2001,37.9993782884473,3757
world,"NorthAmerica",AnnualMean,pop,2002,38.5949445989937,3757
world,"NorthAmerica",AnnualMean,pop,2003,38.5958609653157,3757
world,"NorthAmerica",AnnualMean,pop,2004,37.8552473270541,3757
world,"NorthAmerica",AnnualMean,pop,2005,38.4115175823854,3757
world,"NorthAmerica",AnnualMean,pop,2006,38.2914447083246,3757
world,"NorthAmerica",AnnualMean,pop,2007,38.1121813707825,3757
