RegionSet,Region,Metric,Source,RefSlopePerDecade,RefPeriod
Global,Global,AnnualMean,,NaN,
Global,Global,OSDMA8,,NaN,
world,Africa,AnnualMean,,NaN,
world,Africa,OSDMA8,,NaN,
world,EastAsia,AnnualMean,,NaN,
world,EastAsia,OSDMA8,,NaN,
world,Europe,AnnualMean,,NaN,
world,Europe,OSDMA8,,NaN,
world,NorthAmerica,AnnualMean,,NaN,
world,NorthAmerica,OSDMA8,,NaN,
world,Oceania,AnnualMean,,NaN,
world,Oceania,OSDMA8,,NaN,
world,Russia,AnnualMean,,NaN,
world,Russia,OSDMA8,,NaN,
world,SouthAmerica,AnnualMean,,NaN,
world,SouthAmerica,OSDMA8,,NaN,
world,SouthCentralAsia,AnnualMean,,NaN,
world,SouthCentralAsia,OSDMA8,,NaN,
