RegionSet,Region,Metric,Weighting,Year,Value,Ncells
Global,"Global",DJF,area,1990,31.0835725605819,18173
Global,"Global",DJF,area,1991,25.5524768714073,18173
Global,"Global",DJF,area,1992,24.5334838868854,18173
Global,"Global",DJF,area,1993,25.0463399711305,18173
Global,"Global",DJF,area,1994,25.9552901459411,18173
Global,"Global",DJF,area,1995,27.6987049648782,18173
Global,"Global",DJF,area,1996,26.9412606016436,18173
Global,"Global",DJF,area,1997,29.0445414956684,18173
Global,"Global",DJF,area,1998,28.5774904365905,18173
Global,"Global",DJF,area,1999,27.9311795596504,18173
Global,"Global",DJF,area,2000,28.3322049375207,18173
Global,"Global",DJF,area,2001,28.0884092129726,18173
Global,"Global",DJF,area,2002,28.4903511271909,18173
Global,"Global",DJF,area,2003,29.5852967934923,18173
Global,"Global",DJF,area,2004,29.1137068759039,18173
Global,"Global",DJF,area,2005,28.7959847629539,18173
Global,"Global",DJF,area,2006,28.4547871838745,18173
Global,"Global",DJF,area,2007,28.3218910618601,18173
Global,"Global",DJF,area,2008,30.7429138003747,18173
Global,"Global",DJF,area,2009,29.1923167340245,18173
Global,"Global",DJF,area,2010,30.0632409914738,18173
Global,"Global",DJF,area,2011,30.2435783297919,18173
Global,"Global",DJF,area,2012,29.8251915811761,18173
Global,"Global",DJF,area,2013,28.4369115945453,18173
Global,"Global",DJF,area,2014,27.933799448261,18173
Global,"Global",DJF,area,2015,29.3816970132607,18173
Global,"Global",DJF,area,2016,28.9750452393947,18173
Global,"Global",DJF,area,2017,30.1289134859436,18173
Global,"Global",DJF,area,2018,30.6712664898289,18173
Global,"Global",DJF,area,2019,30.5074253745722,18173
Global,"Global",DJF,area,2020,30.0460283053722,18173
Global,"Global",DJF,area,2021,30.421614291775,18173
Global,"Global",DJF,area,2022,32.5674807037965,18173
Global,"Global",DJF,pop,1990,32.4105495224274,18173
Global,"Global",DJF,pop,1991,29.3263563787447,18173
Global,"Global",DJF,pop,1992,27.8276620767133,18173
Global,"Global",DJF,pop,1993,27.9277221095167,18173
Global,"Global",DJF,pop,1994,29.3435510696164,18173
Global,"Global",DJF,pop,1995,31.533818395707,18173
Global,"Global",DJF,pop,1996,30.712283336093,18173
Global,"Global",DJF,pop,1997,32.7613809646383,18173
Global,"Global",DJF,pop,1998,32.1532086002434,18173
Global,"Global",DJF,pop,1999,32.6124443226754,18173
Global,"Global",DJF,pop,2000,30.7378174033283,18173
Global,"Global",DJF,pop,2001,31.5108732255307,18173
Global,"Global",DJF,pop,2002,31.380517168973,18173
Global,"Global",DJF,pop,2003,31.5145599701749,18173
Global,"Global",DJF,pop,2004,31.8118235039529,18173
Global,"Global",DJF,pop,2005,31.5139430005765,18173
Global,"Global",DJF,pop,2006,30.7010317564379,18173
Global,"Global",DJF,pop,2007,31.326479204464,18173
Global,"Global",DJF,pop,2008,34.4802268657751,18173
Global,"Global",DJF,pop,2009,33.0621050750445,18173
Global,"Global",DJF,pop,2010,32.745132734687,18173
Global,"Global",DJF,pop,2011,32.7262709678957,18173
Global,"Global",DJF,pop,2012,32.1797381567798,18173
Global,"Global",DJF,pop,2013,30.2283131158865,18173
Global,"Global",DJF,pop,2014,28.3378268945761,18173
Global,"Global",DJF,pop,2015,30.3802398568821,18173
Global,"Global",DJF,pop,2016,29.3669594440706,18173
Global,"Global",DJF,pop,2017,33.4856499980908,18173
Global,"Global",DJF,pop,2018,32.9240920778151,18173
Global,"Global",DJF,pop,2019,32.1321296071427,18173
Global,"Global",DJF,pop,2020,32.1105043774393,18173
Global,"Global",DJF,pop,2021,33.5347808690882,18173
Global,"Global",DJF,pop,2022,34.7381145075965,18173
Global,"Global",MAM,area,1990,36.0124263385956,18173
Global,"Global",MAM,area,1991,33.4404652727775,18173
Global,"Global",MAM,area,1992,33.5339593516982,18173
Global,"Global",MAM,area,1993,35.5782452142978,18173
Global,"Global",MAM,area,1994,33.4238429656386,18173
Global,"Global",MAM,area,1995,34.1033556192093,18173
Global,"Global",MAM,area,1996,37.7174450945739,18173
Global,"Global",MAM,area,1997,36.1084727855068,18173
Global,"Global",MAM,area,1998,35.3913915958403,18173
Global,"Global",MAM,area,1999,36.2991100324805,18173
Global,"Global",MAM,area,2000,35.7697285773409,18173
Global,"Global",MAM,area,2001,34.3280617912958,18173
Global,"Global",MAM,area,2002,36.4022306993774,18173
