RegionSet,Region,Metric,Weighting,P1,P1Slope,P1p,P2,P2Slope,P2p,DeltaSlope
Global,"Global",AnnualMean,area,1990-2006,1.28565725987406,0.0507269977466604,2007-2022,1.29658517310558,0.0533297225829778,0.0109279132315203
Global,"Global",AnnualMean,pop,1990-2006,1.85976203193184,0.0140967111300171,2007-2022,2.26339180795707,0.0275586138700862,0.403629776025228
Global,"Global",OSDMA8,area,1990-2006,1.40032443783652,0.0031375354811321,2007-2022,0.788426536250969,0.0807451242681559,-0.611897901585546
Global,"Global",OSDMA8,pop,1990-2006,2.42221632497336,0.000617810983767201,2007-2022,2.45459604486257,0.00204950156831481,0.0323797198892097
world,"Africa",AnnualMean,area,1990-2006,0.843548529397972,0.514740821043166,2007-2022,2.04927932732359,0.00235764457510952,1.20573079792562
world,"Africa",AnnualMean,pop,1990-2006,0.476937787383076,0.696136570315486,2007-2022,1.59358371549733,0.0392802759240493,1.11664592811425
world,"Africa",OSDMA8,area,1990-2006,0.481851559824305,0.604002112071068,2007-2022,1.32190584412102,0.110612624708725,0.840054284296711
world,"Africa",OSDMA8,pop,1990-2006,0.442603502933655,0.616666655348541,2007-2022,0.945210251890092,0.325625936666798,0.502606748956437
world,"EastAsia",AnnualMean,area,1990-2006,4.27540493901583,9.9618112324602e-14,2007-2022,3.20111367601378,0.0160025139916868,-1.07429126300205
world,"EastAsia",AnnualMean,pop,1990-2006,4.14979594634396,4.16039557108881e-12,2007-2022,5.19658429610708,0.0137502022066082,1.04678834976312
world,"EastAsia",OSDMA8,area,1990-2006,4.95651590684159,1.76619949045505e-29,2007-2022,3.70601597334208,0.00406787803368871,-1.25049993349951
world,"EastAsia",OSDMA8,pop,1990-2006,5.62802607898612,5.60293102466745e-09,2007-2022,7.38977777074478,0.000390743461003099,1.76175169175865
world,"Europe",AnnualMean,area,1990-2006,1.15821467500851,0.176764315900081,2007-2022,-0.280165858734554,0.471937248128292,-1.43838053374306
world,"Europe",AnnualMean,pop,1990-2006,0.858183411850821,0.424450630129651,2007-2022,-0.301836974025589,0.481598706425568,-1.16002038587641
world,"Europe",OSDMA8,area,1990-2006,0.620698239510048,0.528008682414347,2007-2022,-1.15606609605618,0.0195862076944316,-1.77676433556623
world,"Europe",OSDMA8,pop,1990-2006,0.314672125970859,0.809971763909898,2007-2022,-1.25388377478558,0.0228587418297683,-1.56855590075644
world,"NorthAmerica",AnnualMean,area,1990-2006,1.75157674824004,0.0270870974410557,2007-2022,1.05952018855867,0.0982646411082019,-0.692056559681378
world,"NorthAmerica",AnnualMean,pop,1990-2006,0.659696303608547,0.302450667157919,2007-2022,-0.153960816339084,0.678864942291739,-0.81365711994763
world,"NorthAmerica",OSDMA8,area,1990-2006,1.61318820114388,0.0155349504920331,2007-2022,0.0562528445345179,0.924756505455492,-1.55693535660937
world,"NorthAmerica",OSDMA8,pop,1990-2006,0.562081512597713,0.448537437366229,2007-2022,-1.68781768622817,0.000557160216135431,-2.24989919882588
world,"Oceania",AnnualMean,area,1990-2006,-0.412275428827341,0.529334466988774,2007-2022,-0.0633452658709131,0.963850227825139,0.348930162956428
world,"Oceania",AnnualMean,pop,1990-2006,1.4598327873281,0.197258518935212,2007-2022,2.4726103562055,2.59363746117948e-05,1.0127775688774
world,"Oceania",OSDMA8,area,1990-2006,-0.483519786611657,0.483493746565962,2007-2022,-0.838399555170404,0.64487135677051,-0.354879768558747
world,"Oceania",OSDMA8,pop,1990-2006,1.37910273806641,0.176351678763804,2007-2022,2.24307584214094,0.00659019388346781,0.863973104074524
world,"Russia",AnnualMean,area,1990-2006,0.902337414385004,0.271566908015824,2007-2022,2.23631192826766,0.0965101593585936,1.33397451388266
world,"Russia",AnnualMean,pop,1990-2006,0.677386016995672,0.52056360258474,2007-2022,-0.741191250717932,0.752790691269243,-1.4185772677136
world,"Russia",OSDMA8,area,1990-2006,2.12461919193521,0.00268931739432048,2007-2022,1.16870644589643,0.351297229369204,-0.955912746038773
world,"Russia",OSDMA8,pop,1990-2006,2.01515568174107,0.139377906391065,2007-2022,-1.91979153676679,0.420284302097581,-3.93494721850785
world,"SouthAmerica",AnnualMean,area,1990-2006,-1.25370542736608,0.422274265691157,2007-2022,0.805700451510535,0.284426078038206,2.05940587887661
world,"SouthAmerica",AnnualMean,pop,1990-2006,-0.890688227505891,0.558214903422474,2007-2022,0.647833614031692,0.282352216619845,1.53852184153758
world,"SouthAmerica",OSDMA8,area,1990-2006,-1.34952345711536,0.361785803372597,2007-2022,0.45555715803478,0.580752906194453,1.80508061515014
world,"SouthAmerica",OSDMA8,pop,1990-2006,-0.573915282337181,0.664894881771716,2007-2022,-0.0176457159197918,0.979999894339517,0.556269566417389
world,"SouthCentralAsia",AnnualMean,area,1990-2006,4.02500921825329,1.69398259456165e-05,2007-2022,-0.553693361077679,0.837978415970679,-4.57870257933097
world,"SouthCentralAsia",AnnualMean,pop,1990-2006,2.1556383543896,0.0745184377985448,2007-2022,2.13650267712971,0.405585978432261,-0.0191356772598961
